country,sex,harm,fair,ingroup,auth,purity
Australia,female,0.4498189805387299,0.28917011374270235,-0.09150760774102482,0.17905290033138535,-0.147369987374519
Australia,male,0.007646559591064049,0.05988007120187507,0.09648806706231605,0.17459176296494375,-0.15312353007694887
Belgium,female,-0.14437960785403725,-0.4841133299476958,-0.5819921673542933,-0.28545704425007384,-0.4102251819563896
Belgium,male,-0.5422255312313592,-0.6203671084318312,-0.3885361583002487,-0.09342001766927267,-0.4906384776730045
China,female,-0.4637187072323795,-0.23209875064199628,0.26295959606620434,0.16885143668882668,-0.06690373264958982
China,male,-0.6996857664571616,-0.3812240248491945,0.2598838473768483,0.17493504400116686,-0.04098328391249201
France,female,-0.24863583735335776,-0.1294308007016058,-0.43863760730111917,0.0224790317997116,-0.5211446099699786
France,male,-0.5843684818505116,-0.22943856545897628,-0.48268142642374046,-0.3954927812984321,-0.9050969171729669
Hungary,female,0.11486471570236269,0.13368964765426092,-0.012891841931283373,-0.06894264042245507,-0.11770074954688274
Hungary,male,-0.35263097238954894,-0.200702881092405,0.11790347726604317,0.1458259511264395,-0.1707471569953862
Iran,female,-0.07887109918948185,0.19051345021579355,0.6659346641688572,0.364458914769562,0.7453681716408136
Iran,male,-0.3488527601276778,0.010126536239678352,0.635537980788277,0.11939397631715286,0.6429021610266482
Japan,female,0.24188057325459947,-0.6815121565499901,-0.6007238555118317,-0.04859264557523033,0.17714185691771808
Japan,male,0.1658002096355104,-0.6438822463785953,-0.40007864806855953,0.029204209887468434,0.18397274283427897
Korea,female,-0.3978077439509682,-0.25978912617598954,-0.3103636204018502,-0.22869788091347337,0.05002657214537735
Korea,male,-0.5677963871287908,-0.38293948317375004,-0.20714455448072222,-0.035258471037581465,0.06505026248827213
Latvia,female,0.097192780565453,0.013388467055514566,0.1337150142679884,-0.19534545919657234,0.16612598657001776
Latvia,male,-0.37020556923225695,-0.5146864761596966,0.09121183368373834,-0.4171900884456334,-0.1300615633579963
Mongolia,female,-0.6754163511187009,-0.5723386947308985,0.3853895170921275,0.29055190084049415,0.6034483268074992
Mongolia,male,-0.8522231238711476,-0.7249994163556638,0.28010533718081154,0.3353588542540985,0.46463459718121797
Netherlands,female,-0.28671482215352134,-0.6599401177546731,-0.6611249308872953,-0.20293682026389892,-0.30846764123904863
Netherlands,male,-0.6829420964254891,-0.7423004299992472,-0.4901981616560107,-0.14655438126870612,-0.6187390810321823
Poland,female,0.6631063121311133,0.3739433436248501,-0.05713401221510277,-0.11699865525661374,0.4388189963558676
Poland,male,0.05225947232843814,0.08184814170128052,-0.05527342949197674,-0.15111399540966983,0.12966911804252718
Russia,female,-0.08218445021867447,-0.10327218913233285,0.08801923598257934,-0.1010379831986398,0.5166760716912665
Russia,male,-0.8410792317822479,-0.5753336151761559,0.15142467284475927,0.04170031782080018,0.31310947647986276
Serbia,female,-0.09249270288985069,0.08055396233518054,0.539894602915861,0.6117894232166433,0.6500125481885745
Serbia,male,-0.23754018722155343,-0.20021982940768587,0.31004989429045915,0.44734064281399644,0.5698590929086814
Spain,female,0.11888747244720337,0.6860894398606295,-0.6655761488360269,-0.39878748682914655,-0.8851846799545355
Spain,male,0.1162341648069893,0.49235552355805196,-0.8270339635218278,-0.5738079745433926,-1.1023746878097298
Sweden,female,0.1493674076231746,-0.060310769931669346,0.05180935104533672,-0.011733135641534715,-0.5581676642541409
Sweden,male,-0.34483904817878175,-0.26477765466112674,0.0553524861270771,0.06574468800547616,-0.5419544894935532
Turkey,female,0.254274487616753,0.6239456439800347,0.2666318495310802,-0.17961487101047516,0.25991501389787613
Turkey,male,-0.05549905652904332,0.4022761269576198,0.37807464752367237,-0.011499810280511374,0.35170615696094676
UK,female,0.2326438392497985,0.006865650746968641,-0.3173208472062254,-0.006177175207818281,-0.1787034846470845
UK,male,-0.16501644505570207,-0.08823584754154618,-0.36160898480348885,0.008810561740271016,-0.44903409352793755
US,female,0.22171223017549918,0.10850313429862594,-0.3223223891357868,0.213229084855264,0.03076246626811144
US,male,-0.13646623419024098,-0.0031855895881304232,-0.22608404428720194,0.2624765835743958,-0.15521895232134014
